Date : 2023-01-25 15:21:44
Directory : d:\qianduan\musicProject\ACGMusic\music
Total : 59 files,  35471 codes, 1327 comments, 1008 blanks, all 37806 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| d:\qianduan\musicProject\ACGMusic\music\src\router\index.js                                       | JavaScript         |        131 |          8 |         22 |        161 |
| d:\qianduan\musicProject\ACGMusic\music\src\store\index.js                                        | JavaScript         |        135 |         29 |          6 |        170 |
| d:\qianduan\musicProject\ACGMusic\music\src\views\Comment\bottom.vue                              | Vue                |        118 |         13 |          6 |        137 |
| d:\qianduan\musicProject\ACGMusic\music\src\views\Comment\comment.vue                             | Vue                |        473 |         32 |         20 |        525 |
| d:\qianduan\musicProject\ACGMusic\music\src\views\HomeView.vue                                    | Vue                |         39 |          4 |          5 |         48 |
| d:\qianduan\musicProject\ACGMusic\music\src\views\Search.vue                                      | Vue                |        305 |         40 |         20 |        365 |
| d:\qianduan\musicProject\ACGMusic\music\src\views\concernList\concernList.vue                     | Vue                |        166 |          6 |         10 |        182 |
| d:\qianduan\musicProject\ACGMusic\music\src\views\generalUserDetail\generalUserDetail.vue         | Vue                |        865 |         62 |         41 |        968 |
| d:\qianduan\musicProject\ACGMusic\music\src\views\generalUserDetail\userAllListenSongs.vue        | Vue                |        349 |         28 |         18 |        395 |
| d:\qianduan\musicProject\ACGMusic\music\src\views\infoUser.vue                                    | Vue                |        424 |         19 |         12 |        455 |
| d:\qianduan\musicProject\ACGMusic\music\src\views\itemMusic.vue                                   | Vue                |         42 |         11 |          7 |         60 |
| d:\qianduan\musicProject\ACGMusic\music\src\views\list\list.vue                                   | Vue                |        265 |         17 |         12 |        294 |
| d:\qianduan\musicProject\ACGMusic\music\src\views\login\Login.vue                                 | Vue                |        132 |          1 |         10 |        143 |
| d:\qianduan\musicProject\ACGMusic\music\src\views\login\Login2.vue                                | Vue                |        157 |          2 |         13 |        172 |
| d:\qianduan\musicProject\ACGMusic\music\src\views\login\loginByQrCode.vue                         | Vue                |        183 |         28 |         19 |        230 |
| d:\qianduan\musicProject\ACGMusic\music\src\views\singer\singer.vue                               | Vue                |        361 |         37 |         27 |        425 |
| d:\qianduan\musicProject\ACGMusic\music\src\views\userDetail\album.vue                            | Vue                |        227 |         21 |         13 |        261 |
| d:\qianduan\musicProject\ACGMusic\music\src\views\userDetail\albumDetail.vue                      | Vue                |        529 |         42 |         28 |        599 |
| d:\qianduan\musicProject\ACGMusic\music\src\views\userDetail\songs.vue                            | Vue                |        245 |         49 |         14 |        308 |
| d:\qianduan\musicProject\ACGMusic\music\src\views\userDetail\userDetail.vue                       | Vue                |        755 |         61 |         33 |        849 |
| d:\qianduan\musicProject\ACGMusic\music\src\views\userDetail\video.vue                            | Vue                |        204 |         21 |         14 |        239 |
| d:\qianduan\musicProject\ACGMusic\music\src\views\userDetail\videoDetail.vue                      | Vue                |        782 |        128 |         41 |        951 |
| d:\qianduan\musicProject\ACGMusic\music\vue.config.js                                             | JavaScript         |         20 |          0 |          3 |         23 |
| Total                                                                                             |                    |     35,471 |      1,327 |      1,008 |     37,806 |
+---------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
